task,ppt,SYNSscene,SYNSView,categorySelected,categoryLabelSelected
Structure,7,48,7,2,Closed Off
Structure,7,65,9,2,Closed Off
Structure,7,49,1,3,Flat
Structure,7,24,5,1,Cluttered / \n Pointy   
Structure,7,31,17,1,Cluttered / \n Pointy   
Structure,7,10,1,2,Closed Off
Structure,7,66,9,4,Tunnel/ \n Navigable\n Routes 
Structure,7,1,5,3,Flat
Structure,7,31,5,3,Flat
Structure,7,27,1,4,Tunnel/ \n Navigable\n Routes 
Structure,7,32,9,3,Flat
Structure,7,30,15,2,Closed Off
Structure,7,14,13,2,Closed Off
Structure,7,16,7,4,Tunnel/ \n Navigable\n Routes 
Structure,7,50,3,3,Flat
Structure,7,52,3,3,Flat
Structure,7,24,7,3,Flat
Structure,7,19,15,3,Flat
Structure,7,20,3,3,Flat
Structure,7,21,3,4,Tunnel/ \n Navigable\n Routes 
Structure,7,58,9,2,Closed Off
Structure,7,13,3,2,Closed Off
Structure,7,62,7,3,Flat
Structure,7,62,5,3,Flat
Structure,7,28,7,4,Tunnel/ \n Navigable\n Routes 
Structure,7,1,7,2,Closed Off
Structure,7,75,15,3,Flat
Structure,7,34,7,3,Flat
Structure,7,78,7,2,Closed Off
Structure,7,8,5,3,Flat
Structure,7,77,11,2,Closed Off
Structure,7,22,7,2,Closed Off
Structure,7,8,17,3,Flat
Structure,7,58,15,2,Closed Off
Structure,7,34,1,3,Flat
Structure,7,11,17,3,Flat
Structure,7,56,11,2,Closed Off
Structure,7,78,5,2,Closed Off
Structure,7,77,1,2,Closed Off
Structure,7,60,3,4,Tunnel/ \n Navigable\n Routes 
Structure,7,64,3,4,Tunnel/ \n Navigable\n Routes 
Structure,7,17,9,4,Tunnel/ \n Navigable\n Routes 
Structure,7,66,17,3,Flat
Structure,7,28,3,4,Tunnel/ \n Navigable\n Routes 
Structure,7,59,17,4,Tunnel/ \n Navigable\n Routes 
Structure,7,54,13,2,Closed Off
Structure,7,54,1,2,Closed Off
Structure,7,57,13,1,Cluttered / \n Pointy   
Structure,7,73,3,1,Cluttered / \n Pointy   
Structure,7,52,11,3,Flat
Structure,7,26,11,1,Cluttered / \n Pointy   
Structure,7,63,9,2,Closed Off
Structure,7,60,1,2,Closed Off
Structure,7,42,13,2,Closed Off
Structure,7,8,1,3,Flat
Structure,7,31,15,1,Cluttered / \n Pointy   
Structure,7,15,7,4,Tunnel/ \n Navigable\n Routes 
Structure,7,29,5,4,Tunnel/ \n Navigable\n Routes 
Structure,7,63,13,4,Tunnel/ \n Navigable\n Routes 
Structure,7,62,13,3,Flat
Structure,7,65,17,4,Tunnel/ \n Navigable\n Routes 
Structure,7,42,15,2,Closed Off
Structure,7,79,17,2,Closed Off
Structure,7,32,1,3,Flat
Structure,7,80,9,2,Closed Off
Structure,7,46,9,3,Flat
Structure,7,21,17,2,Closed Off
Structure,7,68,17,2,Closed Off
Structure,7,28,11,3,Flat
Structure,7,36,9,4,Tunnel/ \n Navigable\n Routes 
Structure,7,26,17,2,Closed Off
Structure,7,25,15,4,Tunnel/ \n Navigable\n Routes 
Structure,7,11,5,4,Tunnel/ \n Navigable\n Routes 
Structure,7,21,13,2,Closed Off
Structure,7,18,15,4,Tunnel/ \n Navigable\n Routes 
Structure,7,2,15,4,Tunnel/ \n Navigable\n Routes 
Structure,7,65,3,3,Flat
Structure,7,71,5,3,Flat
Structure,7,78,13,1,Cluttered / \n Pointy   
Structure,7,34,5,3,Flat
Structure,7,68,7,2,Closed Off
Structure,7,29,11,3,Flat
Structure,7,8,13,3,Flat
Structure,7,71,9,3,Flat
Structure,7,39,7,2,Closed Off
Structure,7,29,17,3,Flat
Structure,7,59,3,4,Tunnel/ \n Navigable\n Routes 
Structure,7,53,11,1,Cluttered / \n Pointy   
Structure,7,62,3,3,Flat
Structure,7,30,17,4,Tunnel/ \n Navigable\n Routes 
Structure,7,37,7,3,Flat
Structure,7,30,13,2,Closed Off
Structure,7,22,1,2,Closed Off
Structure,7,33,9,3,Flat
Structure,8,58,13,1,Cluttered / \n Pointy   
Structure,8,18,13,3,Flat
Structure,8,61,5,3,Flat
Structure,8,15,15,1,Cluttered / \n Pointy   
Structure,8,39,1,2,Closed Off
Structure,8,41,13,4,Tunnel/ \n Navigable\n Routes 
Structure,8,72,7,1,Cluttered / \n Pointy   
Structure,8,71,9,3,Flat
Structure,8,67,11,4,Tunnel/ \n Navigable\n Routes 
Structure,8,29,7,2,Closed Off
Structure,8,22,15,2,Closed Off
Structure,8,35,3,2,Closed Off
Structure,8,21,15,2,Closed Off
Structure,8,2,15,2,Closed Off
Structure,8,60,15,2,Closed Off
Structure,8,3,13,2,Closed Off
Structure,8,41,3,2,Closed Off
Structure,8,75,5,3,Flat
Structure,8,2,17,2,Closed Off
Structure,8,42,3,4,Tunnel/ \n Navigable\n Routes 
Structure,8,66,13,3,Flat
Structure,8,47,7,1,Cluttered / \n Pointy   
Structure,8,48,1,2,Closed Off
Structure,8,33,5,3,Flat
Structure,8,68,9,4,Tunnel/ \n Navigable\n Routes 
Structure,8,6,17,1,Cluttered / \n Pointy   
Structure,8,54,9,2,Closed Off
Structure,8,13,9,2,Closed Off
Structure,8,8,17,3,Flat
Structure,8,10,3,3,Flat
Structure,8,61,17,1,Cluttered / \n Pointy   
Structure,8,23,13,3,Flat
Structure,8,61,15,1,Cluttered / \n Pointy   
Structure,8,50,11,3,Flat
Structure,8,64,9,4,Tunnel/ \n Navigable\n Routes 
Structure,8,24,13,2,Closed Off
Structure,8,78,17,1,Cluttered / \n Pointy   
Structure,8,54,3,2,Closed Off
Structure,8,7,7,2,Closed Off
Structure,8,11,3,4,Tunnel/ \n Navigable\n Routes 
Structure,8,19,17,1,Cluttered / \n Pointy   
Structure,8,12,11,2,Closed Off
Structure,8,58,3,4,Tunnel/ \n Navigable\n Routes 
Structure,8,31,17,4,Tunnel/ \n Navigable\n Routes 
Structure,8,47,11,1,Cluttered / \n Pointy   
Structure,8,24,17,4,Tunnel/ \n Navigable\n Routes 
Structure,8,5,9,2,Closed Off
Structure,8,42,15,2,Closed Off
Structure,8,76,15,2,Closed Off
Structure,8,2,9,2,Closed Off
Structure,8,48,13,2,Closed Off
Structure,8,71,15,3,Flat
Structure,8,37,11,3,Flat
Structure,8,27,3,2,Closed Off
Structure,8,20,17,1,Cluttered / \n Pointy   
Structure,8,70,11,2,Closed Off
Structure,8,77,11,1,Cluttered / \n Pointy   
Structure,8,65,17,2,Closed Off
Structure,8,47,5,1,Cluttered / \n Pointy   
Structure,8,4,11,1,Cluttered / \n Pointy   
Structure,8,72,3,1,Cluttered / \n Pointy   
Structure,8,38,1,2,Closed Off
Structure,8,19,7,1,Cluttered / \n Pointy   
Structure,8,25,7,2,Closed Off
Structure,8,8,15,3,Flat
Structure,8,25,13,2,Closed Off
Structure,8,19,5,1,Cluttered / \n Pointy   
Structure,8,43,7,1,Cluttered / \n Pointy   
Structure,8,37,3,3,Flat
Structure,8,32,13,3,Flat
Structure,8,30,17,3,Flat
Structure,8,59,11,2,Closed Off
Structure,8,3,3,4,Tunnel/ \n Navigable\n Routes 
Structure,8,33,1,3,Flat
Structure,8,20,3,3,Flat
Structure,8,11,1,2,Closed Off
Structure,8,15,17,2,Closed Off
Structure,8,72,5,1,Cluttered / \n Pointy   
Structure,8,36,15,2,Closed Off
Structure,8,69,5,3,Flat
Structure,8,46,5,3,Flat
Structure,8,71,17,3,Flat
Structure,8,44,7,1,Cluttered / \n Pointy   
Structure,8,67,9,2,Closed Off
Structure,8,47,15,1,Cluttered / \n Pointy   
Structure,8,21,7,2,Closed Off
Structure,8,33,17,3,Flat
Structure,8,17,17,3,Flat
Structure,8,78,1,2,Closed Off
Structure,8,22,13,1,Cluttered / \n Pointy   
Structure,8,11,15,4,Tunnel/ \n Navigable\n Routes 
Structure,8,36,3,4,Tunnel/ \n Navigable\n Routes 
Structure,8,33,11,3,Flat
Structure,8,36,1,2,Closed Off
Structure,8,8,9,3,Flat
Structure,8,6,1,1,Cluttered / \n Pointy   
Structure,8,45,3,1,Cluttered / \n Pointy   
Structure,8,29,1,2,Closed Off
Structure,8,26,3,1,Cluttered / \n Pointy   
Structure,8,25,9,2,Closed Off
Structure,8,61,1,1,Cluttered / \n Pointy   
Structure,8,25,1,2,Closed Off
Structure,8,53,13,3,Flat
Structure,8,46,7,3,Flat
Structure,8,27,9,2,Closed Off
Structure,8,14,15,2,Closed Off
Structure,8,45,9,1,Cluttered / \n Pointy   
Structure,8,60,17,4,Tunnel/ \n Navigable\n Routes 
Structure,8,74,5,4,Tunnel/ \n Navigable\n Routes 
Structure,8,79,11,2,Closed Off
Structure,8,13,7,2,Closed Off
Structure,8,70,9,4,Tunnel/ \n Navigable\n Routes 
Structure,8,31,7,4,Tunnel/ \n Navigable\n Routes 
Structure,8,16,5,3,Flat
Structure,8,35,15,3,Flat
Structure,8,6,13,3,Flat
Structure,8,38,3,2,Closed Off
Structure,8,32,11,3,Flat
Structure,8,56,9,4,Tunnel/ \n Navigable\n Routes 
Structure,8,63,17,4,Tunnel/ \n Navigable\n Routes 
Structure,8,11,17,2,Closed Off
Structure,8,55,5,4,Tunnel/ \n Navigable\n Routes 
Structure,8,7,11,4,Tunnel/ \n Navigable\n Routes 
Structure,8,45,7,1,Cluttered / \n Pointy   
Structure,8,26,17,4,Tunnel/ \n Navigable\n Routes 
Structure,8,1,11,4,Tunnel/ \n Navigable\n Routes 
Structure,8,30,1,2,Closed Off
Structure,8,68,3,4,Tunnel/ \n Navigable\n Routes 
Structure,8,65,3,2,Closed Off
Structure,8,64,13,1,Cluttered / \n Pointy   
Structure,8,49,3,1,Cluttered / \n Pointy   
Structure,8,1,5,2,Closed Off
Structure,8,43,1,1,Cluttered / \n Pointy   
Structure,8,20,13,3,Flat
Structure,8,41,1,2,Closed Off
Structure,8,47,1,1,Cluttered / \n Pointy   
Structure,8,17,11,2,Closed Off
Structure,8,63,13,2,Closed Off
Structure,8,8,1,3,Flat
Structure,8,45,5,1,Cluttered / \n Pointy   
Structure,8,26,9,1,Cluttered / \n Pointy   
Structure,8,80,17,1,Cluttered / \n Pointy   
Structure,8,49,11,1,Cluttered / \n Pointy   
Structure,8,75,3,3,Flat
Structure,8,51,9,3,Flat
Structure,8,43,9,1,Cluttered / \n Pointy   
Structure,8,12,7,4,Tunnel/ \n Navigable\n Routes 
Structure,8,21,1,2,Closed Off
Structure,8,10,1,2,Closed Off
Structure,8,10,13,3,Flat
Structure,8,14,7,2,Closed Off
Structure,8,28,7,4,Tunnel/ \n Navigable\n Routes 
Structure,8,9,11,4,Tunnel/ \n Navigable\n Routes 
Structure,8,15,9,1,Cluttered / \n Pointy   
Structure,8,65,13,2,Closed Off
Structure,8,66,15,3,Flat
Structure,8,1,7,4,Tunnel/ \n Navigable\n Routes 
Structure,8,4,15,3,Flat
Structure,8,23,1,3,Flat
Structure,8,24,15,1,Cluttered / \n Pointy   
Structure,8,36,17,4,Tunnel/ \n Navigable\n Routes 
Structure,8,14,1,4,Tunnel/ \n Navigable\n Routes 
Structure,8,6,3,1,Cluttered / \n Pointy   
Structure,8,16,9,3,Flat
Structure,8,80,1,1,Cluttered / \n Pointy   
Structure,8,62,9,1,Cluttered / \n Pointy   
Structure,8,5,1,3,Flat
Structure,8,40,3,2,Closed Off
Structure,8,78,7,1,Cluttered / \n Pointy   
Structure,8,49,1,1,Cluttered / \n Pointy   
Structure,8,72,13,1,Cluttered / \n Pointy   
Structure,8,46,15,3,Flat
Structure,8,42,5,2,Closed Off
Structure,8,65,1,2,Closed Off
Structure,8,36,9,4,Tunnel/ \n Navigable\n Routes 
Structure,8,11,5,4,Tunnel/ \n Navigable\n Routes 
Structure,8,48,5,2,Closed Off
Structure,8,59,7,3,Flat
Structure,8,62,11,1,Cluttered / \n Pointy   
Structure,8,43,5,1,Cluttered / \n Pointy   
Structure,8,5,7,1,Cluttered / \n Pointy   
Structure,8,79,7,2,Closed Off
Structure,8,37,5,3,Flat
Structure,8,52,15,3,Flat
Structure,8,44,17,1,Cluttered / \n Pointy   
Structure,8,39,11,2,Closed Off
Structure,8,28,11,2,Closed Off
Structure,8,77,9,1,Cluttered / \n Pointy   
Structure,8,14,9,4,Tunnel/ \n Navigable\n Routes 
Structure,8,55,3,2,Closed Off
Structure,8,59,15,3,Flat
Structure,8,40,17,2,Closed Off
Structure,8,61,11,1,Cluttered / \n Pointy   
Structure,8,79,9,2,Closed Off
Structure,8,70,7,4,Tunnel/ \n Navigable\n Routes 
Structure,8,29,11,4,Tunnel/ \n Navigable\n Routes 
Structure,8,22,5,1,Cluttered / \n Pointy   
Structure,8,18,9,1,Cluttered / \n Pointy   
Structure,8,37,15,3,Flat
Structure,8,77,3,1,Cluttered / \n Pointy   
Structure,8,57,5,2,Closed Off
Structure,8,64,1,2,Closed Off
Structure,8,16,11,3,Flat
Structure,8,11,11,3,Flat
Structure,8,20,7,3,Flat
Structure,8,52,17,3,Flat
Structure,8,10,7,3,Flat
Structure,8,75,1,3,Flat
Structure,8,51,11,3,Flat
Structure,8,1,17,2,Closed Off
Structure,8,2,1,3,Flat
Structure,8,9,3,3,Flat
Structure,8,11,7,3,Flat
Structure,8,54,17,2,Closed Off
Structure,8,3,7,4,Tunnel/ \n Navigable\n Routes 
Structure,8,23,11,4,Tunnel/ \n Navigable\n Routes 
Structure,8,33,9,3,Flat
Structure,8,48,7,2,Closed Off
Structure,8,71,5,3,Flat
Structure,8,64,17,2,Closed Off
Structure,8,22,7,1,Cluttered / \n Pointy   
Structure,8,45,13,1,Cluttered / \n Pointy   
Structure,8,13,15,1,Cluttered / \n Pointy   
Structure,8,16,7,3,Flat
Structure,8,53,1,3,Flat
Structure,8,80,5,1,Cluttered / \n Pointy   
Structure,8,6,15,1,Cluttered / \n Pointy   
Structure,8,67,7,4,Tunnel/ \n Navigable\n Routes 
Structure,8,17,5,2,Closed Off
Structure,8,67,5,4,Tunnel/ \n Navigable\n Routes 
Structure,8,4,5,1,Cluttered / \n Pointy   
Structure,8,18,5,2,Closed Off
Structure,8,49,17,1,Cluttered / \n Pointy   
Structure,8,45,15,1,Cluttered / \n Pointy   
Structure,8,23,15,3,Flat
Structure,8,52,13,1,Cluttered / \n Pointy   
Structure,8,51,3,3,Flat
Structure,8,22,17,1,Cluttered / \n Pointy   
Structure,8,34,3,3,Flat
Structure,8,4,3,1,Cluttered / \n Pointy   
Structure,8,15,7,1,Cluttered / \n Pointy   
Structure,8,7,13,2,Closed Off
Structure,8,15,1,1,Cluttered / \n Pointy   
Structure,8,66,1,3,Flat
Structure,8,51,5,3,Flat
Structure,8,37,1,3,Flat
Structure,8,45,17,1,Cluttered / \n Pointy   
Structure,8,32,15,3,Flat
Structure,8,27,5,2,Closed Off
Structure,8,16,1,3,Flat
Structure,8,47,13,1,Cluttered / \n Pointy   
Structure,8,57,15,2,Closed Off
Structure,8,47,17,1,Cluttered / \n Pointy   
Structure,8,25,3,4,Tunnel/ \n Navigable\n Routes 
Structure,8,26,5,1,Cluttered / \n Pointy   
Structure,8,27,13,2,Closed Off
Structure,8,18,15,4,Tunnel/ \n Navigable\n Routes 
Structure,8,12,9,1,Cluttered / \n Pointy   
Structure,8,1,13,1,Cluttered / \n Pointy   
Structure,8,36,5,2,Closed Off
Structure,8,74,3,2,Closed Off
Structure,8,76,5,2,Closed Off
Structure,8,71,11,3,Flat
Structure,8,34,15,3,Flat
Structure,8,76,1,2,Closed Off
Structure,8,71,3,2,Closed Off
Structure,8,39,15,2,Closed Off
Structure,8,28,3,2,Closed Off
Structure,8,62,3,3,Flat
Structure,8,25,15,4,Tunnel/ \n Navigable\n Routes 
Structure,8,7,17,2,Closed Off
Structure,8,69,7,4,Tunnel/ \n Navigable\n Routes 
Structure,8,46,1,3,Flat
Structure,8,13,5,4,Tunnel/ \n Navigable\n Routes 
Structure,8,38,17,2,Closed Off
Structure,8,24,11,2,Closed Off
Structure,8,39,13,2,Closed Off
Structure,8,38,15,2,Closed Off
Structure,8,78,15,1,Cluttered / \n Pointy   
Structure,8,60,1,2,Closed Off
Structure,8,7,15,2,Closed Off
Structure,8,52,3,3,Flat
Structure,8,59,1,4,Tunnel/ \n Navigable\n Routes 
Structure,8,79,13,2,Closed Off
Structure,8,40,11,2,Closed Off
Structure,8,24,7,4,Tunnel/ \n Navigable\n Routes 
Structure,8,33,7,3,Flat
Structure,8,60,9,3,Flat
Structure,8,24,3,3,Flat
Structure,8,39,17,3,Flat
Structure,8,71,7,3,Flat
Structure,8,70,13,2,Closed Off
Structure,8,13,11,3,Flat
Structure,8,56,1,4,Tunnel/ \n Navigable\n Routes 
Structure,8,30,5,4,Tunnel/ \n Navigable\n Routes 
Structure,8,12,5,4,Tunnel/ \n Navigable\n Routes 
Structure,8,18,3,2,Closed Off
Structure,8,42,11,2,Closed Off
Structure,8,2,11,4,Tunnel/ \n Navigable\n Routes 
Structure,8,74,17,4,Tunnel/ \n Navigable\n Routes 
Structure,8,28,13,4,Tunnel/ \n Navigable\n Routes 
Structure,8,36,7,4,Tunnel/ \n Navigable\n Routes 
Structure,8,68,15,2,Closed Off
Structure,8,68,7,4,Tunnel/ \n Navigable\n Routes 
Structure,8,4,13,1,Cluttered / \n Pointy   
Structure,8,14,13,2,Closed Off
Structure,8,1,3,4,Tunnel/ \n Navigable\n Routes 
Structure,8,29,5,4,Tunnel/ \n Navigable\n Routes 
Structure,8,40,7,4,Tunnel/ \n Navigable\n Routes 
Structure,8,40,5,2,Closed Off
Structure,8,12,17,2,Closed Off
Structure,8,57,11,2,Closed Off
Structure,8,13,3,2,Closed Off
Structure,8,30,7,2,Closed Off
Structure,8,76,17,2,Closed Off
Structure,8,14,17,2,Closed Off
Structure,8,37,17,3,Flat
Structure,8,73,11,2,Closed Off
Structure,8,72,9,1,Cluttered / \n Pointy   
Structure,8,7,5,2,Closed Off
Structure,8,15,13,1,Cluttered / \n Pointy   
Structure,8,25,11,4,Tunnel/ \n Navigable\n Routes 
Structure,8,29,17,4,Tunnel/ \n Navigable\n Routes 
Structure,8,58,9,1,Cluttered / \n Pointy   
Structure,8,57,1,2,Closed Off
Structure,8,35,11,2,Closed Off
Structure,8,37,7,3,Flat
Structure,8,75,15,3,Flat
Structure,8,12,3,4,Tunnel/ \n Navigable\n Routes 
Structure,8,31,3,4,Tunnel/ \n Navigable\n Routes 
Structure,8,2,5,2,Closed Off
Structure,8,29,3,4,Tunnel/ \n Navigable\n Routes 
Structure,8,55,17,4,Tunnel/ \n Navigable\n Routes 
Structure,8,50,13,3,Flat
Structure,8,6,5,1,Cluttered / \n Pointy   
Structure,8,66,11,3,Flat
Structure,8,69,1,2,Closed Off
Structure,8,73,7,2,Closed Off
Structure,8,52,1,3,Flat
Structure,8,21,5,4,Tunnel/ \n Navigable\n Routes 
Structure,8,28,17,4,Tunnel/ \n Navigable\n Routes 
Structure,8,52,5,3,Flat
Structure,8,46,17,3,Flat
Structure,8,7,9,4,Tunnel/ \n Navigable\n Routes 
Structure,8,10,5,3,Flat
Structure,8,57,9,4,Tunnel/ \n Navigable\n Routes 
Structure,8,76,7,2,Closed Off
Structure,8,73,15,4,Tunnel/ \n Navigable\n Routes 
Structure,8,24,5,4,Tunnel/ \n Navigable\n Routes 
Structure,8,21,17,2,Closed Off
Structure,8,16,13,3,Flat
Structure,8,52,7,3,Flat
Structure,8,4,1,1,Cluttered / \n Pointy   
Structure,8,18,11,2,Closed Off
Structure,8,30,13,2,Closed Off
Structure,8,63,9,4,Tunnel/ \n Navigable\n Routes 
Structure,8,75,11,3,Flat
Structure,8,37,9,3,Flat
Structure,8,41,11,2,Closed Off
Structure,8,44,11,1,Cluttered / \n Pointy   
Structure,8,26,1,1,Cluttered / \n Pointy   
Structure,8,61,7,1,Cluttered / \n Pointy   
Structure,8,44,15,1,Cluttered / \n Pointy   
Structure,8,23,3,3,Flat
Structure,8,54,1,2,Closed Off
Structure,8,57,3,2,Closed Off
Structure,8,65,9,4,Tunnel/ \n Navigable\n Routes 
Structure,8,46,11,3,Flat
Structure,8,13,1,2,Closed Off
Structure,8,25,17,4,Tunnel/ \n Navigable\n Routes 
Structure,8,48,3,4,Tunnel/ \n Navigable\n Routes 
Structure,8,56,17,4,Tunnel/ \n Navigable\n Routes 
Structure,8,2,13,4,Tunnel/ \n Navigable\n Routes 
Structure,8,38,5,2,Closed Off
Structure,8,23,9,3,Flat
Structure,8,7,3,4,Tunnel/ \n Navigable\n Routes 
Structure,8,9,15,3,Flat
Structure,8,58,1,2,Closed Off
Structure,8,63,7,3,Flat
Structure,8,69,17,2,Closed Off
Structure,8,24,9,2,Closed Off
Structure,8,71,13,3,Flat
Structure,8,66,7,3,Flat
Structure,8,6,7,1,Cluttered / \n Pointy   
Structure,8,14,5,1,Cluttered / \n Pointy   
Structure,8,35,7,2,Closed Off
Structure,8,73,9,4,Tunnel/ \n Navigable\n Routes 
Structure,8,8,5,3,Flat
Structure,8,55,9,4,Tunnel/ \n Navigable\n Routes 
Structure,8,21,9,4,Tunnel/ \n Navigable\n Routes 
Structure,8,45,1,1,Cluttered / \n Pointy   
Structure,8,60,13,2,Closed Off
Structure,8,66,17,3,Flat
Structure,8,9,17,3,Flat
Structure,8,51,1,3,Flat
Structure,8,63,1,3,Flat
Structure,8,16,17,3,Flat
Structure,8,19,15,1,Cluttered / \n Pointy   
Structure,8,26,13,1,Cluttered / \n Pointy   
Structure,8,59,5,3,Flat
Structure,8,12,1,4,Tunnel/ \n Navigable\n Routes 
Structure,8,41,9,2,Closed Off
Structure,8,53,11,1,Cluttered / \n Pointy   
Structure,8,73,5,1,Cluttered / \n Pointy   
Structure,8,20,9,1,Cluttered / \n Pointy   
Structure,8,44,9,1,Cluttered / \n Pointy   
Structure,8,26,7,1,Cluttered / \n Pointy   
Structure,8,58,17,2,Closed Off
Structure,8,16,15,3,Flat
Structure,8,74,15,2,Closed Off
Structure,8,34,11,3,Flat
Structure,8,78,3,2,Closed Off
Structure,8,73,17,2,Closed Off
Structure,8,66,9,3,Flat
Structure,8,10,9,3,Flat
Structure,8,51,17,3,Flat
Structure,8,73,13,2,Closed Off
Structure,8,22,3,1,Cluttered / \n Pointy   
Structure,8,74,11,2,Closed Off
Structure,8,19,13,1,Cluttered / \n Pointy   
Structure,8,50,1,2,Closed Off
Structure,8,27,1,4,Tunnel/ \n Navigable\n Routes 
Structure,8,68,1,2,Closed Off
Structure,8,48,11,4,Tunnel/ \n Navigable\n Routes 
Structure,8,67,13,4,Tunnel/ \n Navigable\n Routes 
Structure,8,46,9,3,Flat
Structure,8,56,5,2,Closed Off
Structure,8,75,7,3,Flat
Structure,8,23,5,3,Flat
Structure,8,69,13,2,Closed Off
Structure,8,46,13,3,Flat
Structure,8,80,9,1,Cluttered / \n Pointy   
Structure,8,68,11,2,Closed Off
Structure,8,63,15,2,Closed Off
Structure,8,64,5,2,Closed Off
Structure,8,13,17,2,Closed Off
Structure,8,8,3,3,Flat
Structure,8,32,9,3,Flat
Structure,8,80,11,1,Cluttered / \n Pointy   
Structure,8,9,1,1,Cluttered / \n Pointy   
Structure,8,69,3,3,Flat
Structure,8,53,5,2,Closed Off
Structure,8,75,9,3,Flat
Structure,8,51,15,3,Flat
Structure,8,54,11,2,Closed Off
Structure,8,58,5,2,Closed Off
Structure,8,29,9,2,Closed Off
Structure,8,51,13,3,Flat
Structure,8,8,13,3,Flat
Structure,8,65,15,2,Closed Off
Structure,8,63,5,3,Flat
Structure,8,79,17,2,Closed Off
Structure,8,44,13,3,Flat
Structure,8,60,11,2,Closed Off
Structure,8,76,9,2,Closed Off
Structure,8,62,5,2,Closed Off
Structure,8,50,9,3,Flat
Structure,8,62,7,3,Flat
Structure,8,41,17,3,Flat
Structure,8,40,9,2,Closed Off
Structure,8,32,5,3,Flat
Structure,8,63,3,3,Flat
Structure,8,10,15,3,Flat
Structure,8,60,3,2,Closed Off
Structure,8,55,1,4,Tunnel/ \n Navigable\n Routes 
Structure,8,68,17,2,Closed Off
Structure,8,11,13,3,Flat
Structure,8,56,13,4,Tunnel/ \n Navigable\n Routes 
Structure,8,17,3,2,Closed Off
Structure,8,62,17,3,Flat
Structure,8,79,1,2,Closed Off
Structure,8,39,7,4,Tunnel/ \n Navigable\n Routes 
Structure,8,50,5,3,Flat
Structure,8,43,11,1,Cluttered / \n Pointy   
Structure,8,67,3,2,Closed Off
Structure,8,79,3,2,Closed Off
Structure,8,20,1,3,Flat
Structure,8,76,3,2,Closed Off
Structure,8,30,15,2,Closed Off
Structure,8,45,11,1,Cluttered / \n Pointy   
Structure,8,37,13,3,Flat
Structure,8,79,15,2,Closed Off
Structure,8,26,15,1,Cluttered / \n Pointy   
Structure,8,61,13,1,Cluttered / \n Pointy   
Structure,8,73,1,1,Cluttered / \n Pointy   
Structure,8,43,13,1,Cluttered / \n Pointy   
Structure,8,3,1,4,Tunnel/ \n Navigable\n Routes 
Structure,8,77,7,1,Cluttered / \n Pointy   
Structure,8,58,15,2,Closed Off
Structure,8,12,15,4,Tunnel/ \n Navigable\n Routes 
Structure,8,34,13,3,Flat
Structure,8,75,17,3,Flat
Structure,8,9,9,3,Flat
Structure,8,72,15,3,Flat
Structure,8,65,11,4,Tunnel/ \n Navigable\n Routes 
Structure,8,31,1,4,Tunnel/ \n Navigable\n Routes 
Structure,8,9,5,3,Flat
Structure,8,55,11,4,Tunnel/ \n Navigable\n Routes 
Structure,8,34,5,3,Flat
Structure,8,64,3,4,Tunnel/ \n Navigable\n Routes 
Structure,8,3,15,2,Closed Off
Structure,8,50,15,2,Closed Off
Structure,8,67,15,4,Tunnel/ \n Navigable\n Routes 
Structure,8,9,13,3,Flat
Structure,8,54,5,4,Tunnel/ \n Navigable\n Routes 
Structure,8,78,13,1,Cluttered / \n Pointy   
Structure,8,16,3,3,Flat
Structure,8,32,17,3,Flat
Structure,8,30,3,2,Closed Off
Structure,8,34,1,3,Flat
Structure,8,3,5,4,Tunnel/ \n Navigable\n Routes 
Structure,8,52,11,1,Cluttered / \n Pointy   
Structure,8,36,11,4,Tunnel/ \n Navigable\n Routes 
Structure,8,4,9,1,Cluttered / \n Pointy   
Structure,8,10,17,3,Flat
Structure,8,53,9,4,Tunnel/ \n Navigable\n Routes 
Structure,8,54,7,2,Closed Off
Structure,8,14,3,2,Closed Off
Structure,8,73,3,2,Closed Off
Structure,8,32,3,3,Flat
Structure,8,76,13,2,Closed Off
Structure,8,68,13,2,Closed Off
Structure,8,8,11,3,Flat
Structure,8,44,3,1,Cluttered / \n Pointy   
Structure,8,56,3,4,Tunnel/ \n Navigable\n Routes 
Structure,8,52,9,3,Flat
Structure,8,74,1,2,Closed Off
Structure,8,18,7,4,Tunnel/ \n Navigable\n Routes 
Structure,8,31,15,2,Closed Off
Structure,8,76,11,2,Closed Off
Structure,8,49,13,1,Cluttered / \n Pointy   
Structure,8,5,11,3,Flat
Structure,8,48,17,2,Closed Off
Structure,8,59,17,4,Tunnel/ \n Navigable\n Routes 
Structure,8,63,11,4,Tunnel/ \n Navigable\n Routes 
Structure,8,4,7,1,Cluttered / \n Pointy   
Structure,8,74,7,1,Cluttered / \n Pointy   
Structure,8,22,11,1,Cluttered / \n Pointy   
Structure,8,57,13,1,Cluttered / \n Pointy   
Structure,8,29,13,4,Tunnel/ \n Navigable\n Routes 
Structure,8,15,3,1,Cluttered / \n Pointy   
Structure,8,1,1,1,Cluttered / \n Pointy   
Structure,8,27,7,4,Tunnel/ \n Navigable\n Routes 
Structure,8,47,3,1,Cluttered / \n Pointy   
Structure,8,11,9,1,Cluttered / \n Pointy   
Structure,8,33,13,3,Flat
Structure,8,33,15,3,Flat
Structure,8,35,13,2,Closed Off
Structure,8,41,7,2,Closed Off
Structure,8,44,1,1,Cluttered / \n Pointy   
