task,ppt,SYNSscene,SYNSView,categorySelected,categoryLabelSelected
Structure,1,75,11,3,Flat
Structure,1,41,1,1,Cluttered / \n Pointy   
Structure,1,23,5,3,Flat
Structure,1,45,1,1,Cluttered / \n Pointy   
Structure,1,15,1,1,Cluttered / \n Pointy   
Structure,1,79,3,2,Closed Off
Structure,1,68,15,2,Closed Off
Structure,1,31,11,2,Closed Off
Structure,1,31,3,3,Flat
Structure,1,57,11,1,Cluttered / \n Pointy   
Structure,1,49,5,3,Flat
Structure,1,43,17,1,Cluttered / \n Pointy   
Structure,1,16,5,3,Flat
Structure,1,20,7,1,Cluttered / \n Pointy   
Structure,1,63,9,4,Tunnel/ \n Navigable\n Routes 
Structure,1,17,9,4,Tunnel/ \n Navigable\n Routes 
Structure,1,44,13,3,Flat
Structure,1,64,11,1,Cluttered / \n Pointy   
Structure,1,44,7,1,Cluttered / \n Pointy   
Structure,1,4,17,1,Cluttered / \n Pointy   
Structure,1,4,13,1,Cluttered / \n Pointy   
Structure,1,78,9,1,Cluttered / \n Pointy   
Structure,1,21,7,4,Tunnel/ \n Navigable\n Routes 
Structure,1,50,1,3,Flat
Structure,1,7,15,2,Closed Off
Structure,1,53,1,3,Flat
Structure,1,75,7,3,Flat
Structure,1,31,13,2,Closed Off
Structure,1,61,9,1,Cluttered / \n Pointy   
Structure,1,48,17,2,Closed Off
Structure,1,11,5,4,Tunnel/ \n Navigable\n Routes 
Structure,1,60,17,4,Tunnel/ \n Navigable\n Routes 
Structure,1,75,15,3,Flat
Structure,1,51,15,3,Flat
Structure,1,35,11,2,Closed Off
Structure,1,36,17,4,Tunnel/ \n Navigable\n Routes 
Structure,1,48,1,2,Closed Off
Structure,1,10,15,3,Flat
Structure,1,60,9,2,Closed Off
Structure,1,57,13,2,Closed Off
Structure,1,42,15,2,Closed Off
Structure,1,22,3,1,Cluttered / \n Pointy   
Structure,1,73,3,2,Closed Off
Structure,1,21,5,2,Closed Off
Structure,1,12,1,2,Closed Off
Structure,1,67,9,2,Closed Off
Structure,1,78,5,2,Closed Off
Structure,1,6,15,3,Flat
Structure,1,28,15,3,Flat
Structure,1,31,9,1,Cluttered / \n Pointy   
Structure,1,21,11,3,Flat
Structure,1,3,1,4,Tunnel/ \n Navigable\n Routes 
Structure,1,18,3,2,Closed Off
Structure,1,54,3,2,Closed Off
Structure,1,53,3,1,Cluttered / \n Pointy   
Structure,1,46,11,1,Cluttered / \n Pointy   
Structure,1,60,5,4,Tunnel/ \n Navigable\n Routes 
Structure,1,67,7,2,Closed Off
Structure,1,50,15,2,Closed Off
Structure,1,54,15,2,Closed Off
Structure,1,35,3,2,Closed Off
Structure,1,43,1,1,Cluttered / \n Pointy   
Structure,1,61,5,1,Cluttered / \n Pointy   
Structure,1,80,1,1,Cluttered / \n Pointy   
Structure,1,57,15,2,Closed Off
Structure,1,50,7,3,Flat
Structure,1,49,13,3,Flat
Structure,1,64,13,1,Cluttered / \n Pointy   
Structure,1,16,15,3,Flat
Structure,1,22,11,1,Cluttered / \n Pointy   
Structure,1,72,15,3,Flat
Structure,1,18,9,2,Closed Off
Structure,1,51,13,3,Flat
Structure,1,76,5,2,Closed Off
Structure,1,14,15,2,Closed Off
Structure,1,79,9,2,Closed Off
Structure,1,38,5,2,Closed Off
Structure,1,12,3,4,Tunnel/ \n Navigable\n Routes 
Structure,1,7,13,3,Flat
Structure,1,76,3,1,Cluttered / \n Pointy   
Structure,1,46,13,1,Cluttered / \n Pointy   
Structure,1,18,5,2,Closed Off
Structure,1,13,7,2,Closed Off
Structure,1,74,3,2,Closed Off
Structure,1,72,17,3,Flat
Structure,1,48,13,2,Closed Off
Structure,1,45,15,1,Cluttered / \n Pointy   
Structure,1,13,15,3,Flat
Structure,1,5,17,3,Flat
Structure,1,74,5,4,Tunnel/ \n Navigable\n Routes 
Structure,1,64,9,1,Cluttered / \n Pointy   
Structure,1,69,9,3,Flat
Structure,1,2,7,1,Cluttered / \n Pointy   
Structure,1,74,15,3,Flat
Structure,1,44,17,3,Flat
Structure,1,56,13,3,Flat
Structure,1,42,17,1,Cluttered / \n Pointy   
Structure,1,74,11,4,Tunnel/ \n Navigable\n Routes 
Structure,1,58,9,2,Closed Off
Structure,1,73,9,4,Tunnel/ \n Navigable\n Routes 
Structure,1,79,17,2,Closed Off
Structure,1,43,5,1,Cluttered / \n Pointy   
Structure,1,16,1,3,Flat
Structure,1,15,17,1,Cluttered / \n Pointy   
Structure,1,10,17,3,Flat
Structure,1,65,17,2,Closed Off
Structure,1,34,15,3,Flat
Structure,1,71,11,3,Flat
Structure,1,65,7,3,Flat
Structure,1,5,3,3,Flat
Structure,1,47,1,1,Cluttered / \n Pointy   
Structure,1,17,7,2,Closed Off
Structure,1,77,15,1,Cluttered / \n Pointy   
Structure,1,12,5,3,Flat
Structure,1,80,15,1,Cluttered / \n Pointy   
Structure,1,61,11,1,Cluttered / \n Pointy   
Structure,1,45,9,1,Cluttered / \n Pointy   
Structure,1,73,5,4,Tunnel/ \n Navigable\n Routes 
Structure,1,49,11,3,Flat
Structure,1,14,11,2,Closed Off
Structure,1,16,13,3,Flat
Structure,1,5,13,1,Cluttered / \n Pointy   
Structure,1,51,1,3,Flat
Structure,1,53,17,3,Flat
Structure,1,13,1,2,Closed Off
Structure,1,30,17,3,Flat
Structure,1,30,7,3,Flat
Structure,1,16,11,3,Flat
Structure,1,29,17,3,Flat
Structure,1,13,5,3,Flat
Structure,1,39,5,2,Closed Off
Structure,1,69,17,2,Closed Off
Structure,1,35,1,4,Tunnel/ \n Navigable\n Routes 
Structure,1,24,9,2,Closed Off
Structure,1,29,1,3,Flat
Structure,1,19,7,1,Cluttered / \n Pointy   
Structure,1,2,13,4,Tunnel/ \n Navigable\n Routes 
Structure,1,56,15,2,Closed Off
Structure,1,63,7,4,Tunnel/ \n Navigable\n Routes 
Structure,1,71,3,3,Flat
Structure,1,22,5,1,Cluttered / \n Pointy   
Structure,1,74,1,2,Closed Off
Structure,1,35,17,2,Closed Off
Structure,1,14,7,2,Closed Off
Structure,1,44,1,1,Cluttered / \n Pointy   
Structure,1,77,1,1,Cluttered / \n Pointy   
Structure,1,29,15,3,Flat
Structure,1,21,3,2,Closed Off
Structure,1,4,1,1,Cluttered / \n Pointy   
Structure,1,34,1,3,Flat
Structure,1,50,13,3,Flat
Structure,1,46,15,1,Cluttered / \n Pointy   
Structure,1,6,1,3,Flat
Structure,1,68,1,2,Closed Off
Structure,1,40,15,2,Closed Off
Structure,1,62,13,3,Flat
Structure,1,18,1,2,Closed Off
Structure,1,11,7,4,Tunnel/ \n Navigable\n Routes 
Structure,1,75,5,3,Flat
Structure,1,8,17,3,Flat
Structure,1,55,17,2,Closed Off
Structure,1,40,9,2,Closed Off
Structure,1,5,7,1,Cluttered / \n Pointy   
Structure,1,8,1,3,Flat
Structure,1,77,11,1,Cluttered / \n Pointy   
Structure,1,65,9,2,Closed Off
Structure,1,48,5,2,Closed Off
